Time,Pressure,Concentration
(s),(psi),(mM)
1065,60.186,62.5440183
1070,60.182,62.63677168
1075,60.175,62.72970088
1080,60.169,62.8232245
1085,60.162,62.91651369
1090,60.157,63.01035544
1095,60.151,63.10355254
1100,60.145,63.19753662
1105,60.143,63.29159604
1110,60.147,63.38500244
1115,60.155,63.47790652
1120,60.16,63.57100316
1125,60.166,63.66443468
1130,60.172,63.76042804
1135,60.175,63.85838881
1140,60.181,63.95603144
1145,60.186,64.05255223
1150,60.192,64.14842838
1155,60.198,64.24576962
1160,60.203,64.34445038
1165,60.209,64.44276278
1170,60.214,64.5399617
1175,60.219,64.63654109
1180,60.223,64.73224142
1185,60.229,64.82732223
1190,60.235,64.92159095
1195,60.239,65.01713221
1200,60.243,65.11434788
1205,60.248,65.21123703
1210,60.252,65.30559784
1215,60.257,65.39842658
1220,60.26,65.49049346
1225,60.256,65.58218361
1230,60.183,65.6720068
1235,60.099,65.75461332
1240,60.015,65.8271567
1245,59.933,65.88989647
1250,59.854,65.94649956
1255,59.773,66.00008036
1260,59.692,66.0526314
1265,59.612,66.10342433
1270,59.532,66.15355586
1275,59.458,66.20442414
1280,59.376,66.25573612
1285,59.299,66.30667974
1290,59.223,66.35772383
1295,59.147,66.40867582
1300,59.07,66.45934316
1305,58.994,66.510044
1310,58.916,66.56051041
1315,58.839,66.61193961
1320,58.766,66.66413066
1325,58.692,66.71749378
1330,58.619,66.77145132
1335,58.547,66.82519119
1340,58.474,66.87840362
1345,58.402,66.9310635
1350,58.331,66.98272712
1355,58.259,67.03369585
1360,58.188,67.08323298
1365,58.117,67.1322929
1370,58.047,67.1816877
1375,57.978,67.23109924
1380,57.909,67.28054427
1385,57.841,67.33085999
1390,57.774,67.38229756
1395,57.706,67.43475651
1400,57.64,67.48772616
1405,57.574,67.5418009
1410,57.509,67.59575007
1415,57.444,67.64924715
1420,57.38,67.70115355
1425,57.316,67.75194648
1430,57.254,67.80389474
1435,57.192,67.85766809
1440,57.13,67.91215307
1445,57.07,67.96660456
1450,57.01,68.02027745
1455,56.951,68.07556614
1460,56.895,68.13127342
1465,56.837,68.18489608
1470,56.781,68.23589831
1475,56.724,68.28568659
1480,56.67,68.33724974
1485,56.616,68.3926975
1490,56.566,68.44945128
1495,56.519,68.50648135
1500,56.473,68.56295049
1505,56.436,68.61938614
1510,56.399,68.67801526
1515,56.362,68.73973364
1520,56.328,68.80356177
1525,56.296,68.8679257
1530,56.264,68.93148593
1535,56.23,68.99488708
1540,56.201,69.05960264
1545,56.174,69.12616842
1550,56.148,69.19436673
1555,56.123,69.26368689
1560,56.098,69.33296519
1565,56.076,69.40259511
1570,56.055,69.47231713
1575,56.034,69.54176287
1580,56.014,69.61125884
1585,55.995,69.68028598
1590,55.977,69.74846755
1595,55.96,69.81666586
1600,55.944,69.88519905
1605,55.928,69.95555734
1610,55.914,70.02827653
1615,55.898,70.10240222
1620,55.886,70.17733162
1625,55.876,70.25243683
1630,55.865,70.32732437
1635,55.853,70.40156727
1640,55.841,70.47509017
1645,55.83,70.5485461
1650,55.821,70.62238714
1655,55.811,70.69703189
1660,55.802,70.7726478
1665,55.792,70.84959485
1670,55.785,70.92717817
1675,55.777,71.00409174
1680,55.769,71.07904625
1685,55.761,71.15271985
1690,55.756,71.22598322
1695,55.747,71.29940566
1700,55.742,71.37413414
1705,55.736,71.45004306
1710,55.731,71.52673058
1715,55.725,71.60248881
1720,55.722,71.67742658
1725,55.716,71.75192064
1730,55.712,71.82755328
1735,55.709,71.90362128
1740,55.703,71.98019996
1745,55.699,72.05651074
1750,55.697,72.13277129
1755,55.694,72.2093416
1760,55.691,72.28653144
1765,55.687,72.36561335
1770,55.684,72.44519758
1775,55.682,72.52376043
1780,55.679,72.5998954
1785,55.676,72.67428062
1790,55.673,72.74869933
1795,55.671,72.82544545
1800,55.669,72.9031125
1805,55.668,72.9804028
1810,55.665,73.05605219
1815,55.664,73.12964207
1820,55.663,73.20250359
1825,55.66,73.27565812
1830,55.659,73.34942382
1835,55.658,73.42533274
1840,55.656,73.50276537
1845,55.656,73.58071706
1850,55.656,73.65828364
1855,55.653,73.73496279
1860,55.653,73.81070427
1865,55.653,73.88653785
1870,55.652,73.96294072
1875,55.65,74.03945243
1880,55.651,74.11530275
1885,55.65,74.18991401
1890,55.65,74.2634704
1895,55.649,74.3367254
1900,55.65,74.41042412
1905,55.648,74.48406423
1910,55.647,74.55824852
1915,55.647,74.63317792
1920,55.648,74.70855104
1925,55.647,74.78397439
1930,55.645,74.85867774
1935,55.646,74.9331132
1940,55.648,75.00765748
1945,55.647,75.08195898
1950,55.646,75.15507166
1955,55.649,75.22714621
1960,55.648,75.29847565
1965,55.651,75.37090182
1970,55.65,75.44466751
1975,55.651,75.5195718
1980,55.652,75.59480259
1985,55.651,75.66962315
1990,55.651,75.74300373
1995,55.652,75.8161499
2000,55.654,75.8882077
2005,55.653,75.96003109
2010,55.689,76.03259958
2015,55.756,76.10989826
2020,55.821,76.19596242
2025,55.885,76.29164601
2030,55.947,76.39265419
2035,56.01,76.49530328
2040,56.072,76.59662122
2045,56.134,76.69713546
2050,56.194,76.79806829
2055,56.255,76.89941135
2060,56.316,77.00077115
2065,56.378,77.1022063
2070,56.436,77.20260333
2075,56.496,77.30233059
2080,56.556,77.40172298
2085,56.616,77.5001777
2090,56.674,77.59794591
2095,56.733,77.69558018
2100,56.79,77.79320607
2105,56.846,77.89199567
2110,56.904,77.99025783
2115,56.961,78.08659444
2120,57.016,78.18067897
2125,57.072,78.2750063
2130,57.124,78.37205452
2135,57.179,78.46996506
2140,57.231,78.56425052
2145,57.283,78.65445045
2150,57.335,78.7431183
2155,57.386,78.83402985
2160,57.435,78.92791346
2165,57.484,79.02236636
2170,57.534,79.11594858
2175,57.581,79.20758012
2180,57.629,79.29816516
2185,57.674,79.38801346
2190,57.722,79.47771944
2195,57.766,79.56685613
2200,57.812,79.65574165
2205,57.854,79.74481136
2210,57.896,79.83576477
2215,57.941,79.92590609
2220,57.98,80.0150344
2225,58.021,80.10248832
2230,58.062,80.189532
2235,58.101,80.2769608
2240,58.139,80.36572074
2245,58.177,80.45264722
2250,58.213,80.53783232
2255,58.25,80.61976071
2260,58.285,80.70148817
2265,58.321,80.78413656
2270,58.356,80.86978212
2275,58.389,80.95695975
2280,58.421,81.04391134
2285,58.454,81.12753088
2290,58.486,81.20785185
2295,58.517,81.28470681
2300,58.547,81.36141107
2305,58.575,81.438693
2310,58.604,81.5174819
2315,58.632,81.59793682
2320,58.659,81.67821592
2325,58.687,81.75719737
2330,58.714,81.83575185
2335,58.739,81.91417237
2340,58.765,81.99246732
2345,58.789,82.06989994
2350,58.814,82.14625258
2355,58.837,82.22350103
2360,58.861,82.30128528
2365,58.884,82.37896907
2370,58.903,82.45533845
2375,58.925,82.53068645
2380,58.947,82.60554888
2385,58.967,82.68001782
2390,58.987,82.75455373
2395,59.007,82.8307473
2400,59.026,82.90787854
2405,59.046,82.98459118
2410,59.064,83.06269356
2415,59.082,83.14103874
2420,59.1,83.21887322
2425,59.117,83.29511703
2430,59.134,83.36831342
2435,59.152,83.43903171
2440,59.168,83.51016859
2445,59.183,83.58126362
2450,59.198,83.65322096
2455,59.215,83.7261327
2460,59.23,83.79845004
2465,59.245,83.87220736
2470,59.259,83.94663444
2475,59.273,84.01927828
2480,59.288,84.08924309
2485,59.301,84.15688885
2490,59.315,84.22513739
2495,59.328,84.29547056
2500,59.34,84.36621396
2505,59.352,84.4367983
2510,59.365,84.50839564
2515,59.377,84.58098088
2520,59.388,84.65493076
2525,59.403,84.72850389
2530,59.413,84.80107239
2535,59.425,84.87175718
2540,59.435,84.94013968
2545,59.446,85.00760126
2550,59.454,85.07489539
2555,59.464,85.14289278
2560,59.473,85.21179434
2565,59.482,85.28077124
2570,59.491,85.34865979
2575,59.5,85.41674927
2580,59.508,85.48599408
2585,59.516,85.5570305
2590,59.524,85.62830134
2595,59.531,85.6977387
2600,59.54,85.76453052
2605,59.546,85.83056886
2610,59.553,85.89685835
2615,59.562,85.96352459
2620,59.569,86.0296885
2625,59.575,86.09530824
2630,59.581,86.1605931
2635,59.588,86.22633841
2640,59.593,86.29229303
2645,59.6,86.35843183
2650,59.605,86.42481342
2655,59.61,86.49156337
2660,59.617,86.55838868
2665,59.621,86.62519724
2670,59.627,86.69130255
2675,59.631,86.75676322
2680,59.635,86.82306108
2685,59.642,86.88888175
2690,59.646,86.95400754
2695,59.651,87.01829612
2700,59.654,87.08306192
2705,59.658,87.14873188
2710,59.664,87.21472836
2715,59.665,87.27966996
2720,59.67,87.34389158
2725,59.674,87.40743506
2730,59.677,87.47115435
2735,59.682,87.53471457
2740,59.684,87.59808224
2745,59.688,87.66192711
2750,59.691,87.72526129
2755,59.694,87.78806804
2760,59.697,87.85075757
2765,59.701,87.91345548
2770,59.704,87.9780036
2775,59.707,88.04364008
2780,59.709,88.10964493
2785,59.712,88.17482095
2790,59.715,88.23914302
2795,59.717,88.30222604
2800,59.72,88.36478163
2805,59.723,88.42614002
2810,59.724,88.48794212
2815,59.726,88.55030515
2820,59.728,88.61347189
2825,59.731,88.67728327
2830,59.734,88.74159698
2835,59.736,88.80529115
2840,59.737,88.86756209
2845,59.739,88.92773165
2850,59.741,88.98633565
