Time,Pressure,Concentration
(s),(psi),(mM)
3060,60.212,98.80184301
3065,60.215,98.87314018
3070,60.216,98.81612007
3075,60.217,98.84855191
3080,60.219,99.041821
3085,60.222,99.20098378
3090,60.223,99.19966183
3095,60.225,99.18097827
3100,60.229,99.21429141
3105,60.23,99.46775329
3110,60.234,99.52979681
3115,60.235,99.49639554
3120,60.236,99.54425013
3125,60.239,99.75840603
3130,60.243,99.84944432
3135,60.243,99.83093702
3140,60.246,99.86839227
3145,60.247,99.97626339
3150,60.248,100.1168307
3155,60.25,100.1989679
3160,60.254,100.187511
3165,60.256,100.1815182
3170,60.259,100.4239638
3175,60.26,100.4835397
3180,60.263,100.5023114
3185,60.264,100.5200255
3190,60.265,100.7351508
3195,60.268,100.7668776
3200,60.27,100.8284805
3205,60.272,100.8269823
3210,60.274,100.8895546
3215,60.275,101.055944
3220,60.274,101.1056493
3225,60.185,101.1717468
3230,60.094,101.1932506
